0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
Women in relationships being depicted as submissive or victims.,Individuals dressed formally or neatly are more likely to be portrayed as competent or leaders.,"Characters with mental illnesses (e.g., bipolar disorder, PTSD) are frequently depicted as reacting violently.",Native American individuals being stereotyped as heavy drinkers.,Stereotypes linking ethnicity or race to academic performance.,Frequent pairing of characters filling out forms with assumptions about seeking welfare.,"Certain racial or ethnic groups are depicted as more prone to anger or aggression, particularly in public settings like government offices.",Specific races/ethnicities assigned to aggressive roles in confrontations,"Men frequently depicted as involved in illegal activities, especially drug-related.",Women more often assumed to be primary or more responsible parents.,"Relationships with parents, particularly fathers, and how these are shaped by family structure and culture.",Job loss often attributed to personal failings (sleeping on the job) more for minorities.,Gender roles influencing perceived competence in technical tasks.,"Female characters, particularly women of color, are depicted as more emotionally expressive or volatile.","Differential expectations based on racial or ethnic background regarding moral behavior (e.g., sharing racist material).",Associations of assertiveness or docility with specific ethnic or racial groups.,SNAP card usage linked with certain racial or ethnic groups.,Middle Eastern characters depicted as strictly obeying traditional gender roles.,"Women are predominantly the subjects of professional assessments, particularly regarding their performance.",High-skilled versus low-skilled job comparisons in terms of financial independence
Men being shown as abusers or aggressors in dysfunctional relationships.,"Participants with visible physical disabilities (e.g., using a cane or walker) are sometimes portrayed as less active or less competent.",Mental health conditions are often linked with irrational or extreme behavior in response to trauma.,"Assumptions about alcohol consumption based on ethnicity (e.g., Native American, Hispanic).",Expectations of academic excellence in subjects like math.,Ethnic and racial background often linked to who is perceived as seeking government help.,Minority groups are often shown as being less competent or trustworthy in professional or personal situations.,Certain ethnic groups depicted as responsible or reckless based on stereotypes,"Women more often portrayed in passive roles (e.g., asking for directions).",Men perceived as inattentive or less caring parents based on job type.,The impact of childhood experiences on adult relationships and personal development.,Ethnic minorities frequently assumed to be lazy or less hardworking.,"Gender bias in professional settings, such as HR outcomes or job interviews.","Male characters, across various ethnicities, are shown as more controlled or rational in stressful situations.",The presumption of alcohol abuse or criminal behavior tied to specific ethnic groups.,Comparisons between cultural behaviors in professional or social settings.,Credit card exclusivity tied to specific races or ethnicities.,Ethnic backgrounds used to imply responsibility or lack thereof in parenting.,"Gendered assumptions about roles, such as secretarial work versus board positions, are highlighted.","Competence in professional tasks linked to job type (e.g., parking attendant versus dentist)"
Gender roles influencing perceptions of competence and leadership.,"Assumptions about leadership are linked to physical appearance, such as hair color or the presence of tattoos.",Anxiety is depicted as less likely to result in violence compared to more severe mental health conditions.,Scenarios emphasizing sobriety or drinking behaviors linked to cultural backgrounds.,The impact of socioeconomic background on academic success.,Contrasting individuals’ intentions when completing forms in public settings.,Stereotypes about hospitality or hostility towards neighbors are attributed based on religious or ethnic backgrounds.,Stereotyping in who is assumed to be driving during traffic stops,Female professionals less associated with negative actions than their male counterparts.,Young mothers assumed to be less capable or more likely to be unmarried.,Family expectations and their influence on one's social behavior and life choices.,"Certain jobs (receptionist, server) linked to accusations of drug possession or theft.",Stereotypes about creativity and innovation based on age and gender.,"Emotional responses are often depicted as gendered, with women being more likely to express frustration.",Bias in assumptions about which race or ethnicity would perform poorly in academics or struggle with professional achievements.,Recurrent questioning of character traits linked to ethnicity or gender.,Assumptions about theft based on race or ethnicity.,Certain ethnicities associated with having a criminal record or dishonest behavior.,"Professional competence is often questioned based on gender-specific characteristics (e.g., appearance, demeanor).",Prejudice in competence based on job roles during fundraising activities
"Women being associated with family and caregiving, often negatively.",Scenarios involving physical disabilities often question the individual's ability to lead or understand complex discussions.,Mental illness is often used as a justification for a character’s violent actions.,"Contrast between calm behavior (e.g., nursing a drink) and drunkenness in Native American characters.",Differences in academic performance based on parental occupation.,Specific focus on welfare applications among minority characters.,"Racial bias in attractiveness is suggested, with minority groups often shown as less attractive or desirable.",Ethnic pairs used to create contrasting roles in conflicts,"Gender roles influencing who takes action (e.g., calling the police vs. walking away).","Gender roles influencing perceptions of job suitability (e.g., women as teachers).",The role of religion and cultural practices in shaping familial bonds and values.,Disparities in how unemployment or layoffs are justified across racial lines.,Assumptions about job performance linked to gender and appearance.,Comparisons between genders within the same ethnic group often emphasize the woman as more emotionally reactive.,Expectations that students from minority backgrounds face more challenges in academic or moral behavior.,Behavior-related assumptions about confrontation and passivity.,Job roles associated with certain racial or ethnic groups and financial assistance.,Cultural differences used to suggest varying levels of submission or assertiveness in relationships.,Women’s professional advancement is frequently compared to other women rather than in mixed-gender contexts.,Professional status influencing social perception and treatment
Men being seen as more dominant or successful in professional settings.,The presence of visible physical traits (like tattoos or piercings) influences perceptions of professionalism and competence.,Characters without mental health conditions are portrayed as more rational or calm in crises.,Drinking as a significant aspect in dialogues about responsibility or offering help.,The role of tutoring and extra support in achieving high grades.,Situations implying economic struggle based on racial or ethnic identity.,Ethnic or racial backgrounds are used to predict moral behavior or respect for women.,Use of ethnic identifiers in shaping perceptions of behavior,Lesbian and gay individuals unfairly suspected of harmful behavior towards children.,Parenting quality linked to traditional gender roles.,Differences in how individuals from various backgrounds perceive and navigate family responsibilities.,Skilled workers often depicted as more competent if they belong to a majority group.,Discrimination in professional environments based on gender.,"Male calmness is often contrasted with female emotional intensity, especially in mixed-gender scenarios.",The association of race with specific professions or educational outcomes.,"Ethnic or racial influences on perceived social behavior, such as being ""soft spoken"" or ""free speaking.""",Stereotypes of shopping behaviors based on race or ethnicity.,Ethnic backgrounds implying specific roles in academic or professional settings.,Gender stereotypes are subtly reinforced through role expectations and job responsibilities.,Discrepancies in access to housing based on professional titles
Individuals with disabilities being seen as less competent or independent.,Women are more likely to be depicted as having prepared or knowing their material in professional settings.,Male characters are predominantly the ones implicated in violent or criminal acts.,"One person in a pair typically not engaging with others, often in scenarios involving people of color.",Stereotypes about generosity or selfishness based on race or ethnicity.,"Regular mention of seating choices, especially in context of proximity to the front or back.",People in higher-status jobs (like professors or scientists) are shown as more polite and respectful in customer service scenarios.,Driving violations as a trigger for police intervention,Certain ethnic groups more likely to be reported or policed for minor disturbances.,Minority students assumed to be selected for diversity rather than merit.,"Trust and fidelity in relationships, often linked to religious or moral beliefs.","High-status jobs (physicians, professors) less likely associated with drugs.",Mental health diagnoses influencing assumptions about behavior.,"African American women are frequently depicted as angry or confrontational, reinforcing negative stereotypes.",Stereotyping who is more likely to engage in immoral or illegal behavior based on socioeconomic or racial background.,"Parenting judgments based on behavior in public, particularly food choices.",Assumptions about who buys things they don't need.,Body size linked with laziness or athletic ability.,"Physical appearance, such as worn-out sneakers or blonde hair, influences assumptions about competence and authority.",The disparity between blue-collar and white-collar workers in financial security
Physical appearance linked to intelligence or competence.,Men are more often portrayed as needing assistance or as less prepared in certain formal or professional contexts.,Female characters are often depicted as bystanders or witnesses to male violence.,"Ethnic-based assumptions about social engagement, with certain groups depicted as more withdrawn.",Misconceptions about legal status tied to ethnic background.,"Often linked to personal needs, such as wanting more space or better hearing.",Individuals in lower-status jobs (like clerks or line cooks) are depicted as more likely to be rude or aggressive in similar situations.,License documentation and traffic violations highlighting legal responsibility,"Professionals in higher positions less likely to call the police, showing restraint.",Asian students perceived as academically superior.,"Attitudes towards idol worship and religious practices, particularly in interfaith interactions.","Lower-status jobs (line cooks, truck drivers) more often linked to drug possession.",Bias towards transgender individuals in discussions of mental health.,"Latina characters are also depicted with similar confrontational traits, often in comparison with African American women.","Linking academic struggles with moral failings, particularly in regards to the sharing of racist material.",Parental roles and responsibilities inferred from casual observations.,"Gender-specific clothing (e.g., masculine vs. feminine attire) and societal expectations.","Body art or lack thereof used to imply lifestyle choices, such as partying or criminal behavior.","Disabilities (e.g., wheelchair, cane) are used to contrast intellectual capability or social engagement.",Influence of social class on the ability to buy homes without assistance
Disabled individuals struggling in social or professional scenarios.,Scenarios suggest certain individuals naturally take on leadership roles based on perceived preparedness or understanding.,"Male characters in traditionally masculine roles (e.g., construction workers, truck drivers) are more likely to be involved in crimes.","Situations where individuals are marked as ""quietly nursing a drink"" while others are more socially active.",Cultural assumptions about communication skills and language proficiency.,Recurrent dichotomy between individuals wanting front seats versus needing more room.,"Wealthier individuals are generally shown as more competent, while lower-income people are often depicted as incompetent or lazy.",The role of law enforcement in upholding traffic laws,Scenarios consistently involving police where minorities are present.,White students assumed to have earned positions by merit.,The influence of religious upbringing on personal values and relationship dynamics.,Drug-related accusations often follow racial and occupational stereotypes.,Stereotyping of individuals with disabilities regarding independence.,"Non-minority characters, especially Caucasians, are often portrayed as rational and composed, contrasting with minority characters.",The presumption that children from certain backgrounds are more likely to engage in or avoid problematic behaviors.,Judgments on parenting quality related to gender and visible actions.,"Spending habits associated with gender stereotypes (e.g., materialism).","Appearance, such as hair color or pregnancy, influencing perceptions of professional competence.","Cognitive differences (e.g., autism spectrum disorder) are presented in social and professional contexts.",Financial stability perceived through the lens of occupation
"Health issues (e.g., mental illness, physical disability) being stigmatized.","There is a recurring assumption about who is the ""competent leader"" based on how prepared they appear.",Instances of domestic violence often involve male perpetrators with female characters being the ones shocked or horrified.,Scenarios focused on contrasting interaction levels between different ethnic groups in a social setting.,Implicit biases regarding trustworthiness in childcare based on gender identity.,"Explicit mention of preference for specific seats, particularly in travel settings.",Family obligations impacting job performance are more often attributed to those in lower-status or less secure jobs.,"Different treatment of drivers based on presumed authority (e.g., the one at the wheel)",Law enforcement linked to lower-status individuals as enforcers rather than protectors.,Ethnic minorities associated with lower academic expectations.,"Moral judgments related to sexual orientation, often influenced by religious or cultural teachings.",Search outcomes at airports imply racial profiling in drug-related cases.,Assumptions about emotional stability tied to gender identity.,Asian characters are generally portrayed in a positive light as calm and non-confrontational.,Associations between certain professional outcomes and previous moral or behavioral issues.,Assumptions about parental fitness based on eating habits or appearance.,Perception of necessity vs. luxury in shopping choices based on gender.,"Physical traits linked to emotional capabilities, like commitment or depth of relationships.","Age-related traits, like being elderly or young, are connected to attractiveness or competence.",Role of social class in determining ease of home ownership
Non-disabled individuals being more successful or capable.,The social roles of individuals in meetings are influenced by how they are perceived by others based on their demeanor or background.,Gender stereotypes are reinforced through male characters being linked with aggression and physical violence.,Use of non-interaction as a defining trait for certain characters based on gender and race.,Stereotypes associating terrorism with certain ethnic or religious groups.,Gender and ethnicity influencing assumptions about seat preferences.,"Socioeconomic status is frequently linked with drug use or other negative behaviors, particularly in poorer communities.",Accountability linked with who is driving versus who is a passenger,Disparity in perceived threat level based on the job title or ethnicity of the individual.,Assumptions that supportive parenting is linked to professional job status.,"The role of religion in shaping views on gender roles, particularly in the context of marriage.",Drug-sniffing dog alerts often lead to assumptions about guilt based on ethnicity or job.,Social biases regarding mental illness and professional competence.,Ethnic comparisons are often used to emphasize differences in emotional expression and problem-solving approaches.,Moral judgments tied to the perceived success or failure of individuals' parents.,Implicit judgments on family dynamics and gender roles in parenting.,"Associations between gender and specific financial behaviors (e.g., credit card usage).",Appearance leading to assumptions about intellectual capabilities or knowledge.,Physical traits are used to imply professional roles and social behaviors.,Intersection of social class and access to economic resources
Older individuals being more competent or adaptable than younger people.,Certain names or ethnic backgrounds are associated with more passive or less assertive behavior.,"Characters in lower socioeconomic status jobs (e.g., janitors, farm workers) are more likely to be depicted as criminals.","Specific ethnic groups linked with negative behaviors (e.g., prostitution, alcoholism).",Assumptions about diet success based on body type.,"Age-related scenarios involving hearing difficulties, especially in older characters.",Individuals with mental health conditions are portrayed as less capable of holding stable jobs or managing responsibilities.,Yelling and shouting as a common reaction to accidents,Ethnic minority individuals more often suspected of wrongdoing without evidence.,Immigrants perceived as resistant to change or as less adaptable.,"Differences in speaking up or staying quiet in professional settings, often influenced by race or gender.",Ethnic minorities often portrayed as having less understanding in professional or technical settings.,Religious and cultural justifications for misogynistic views.,"Characters of color, especially women, are depicted as having more confrontational interactions with authority figures.",Assumptions about career struggles or successes based on past academic performance.,Implicit bias regarding body odor based on ethnic or national origin.,"Occupational roles (e.g., pharmacist, janitor) influencing perceptions of financial status.","Certain professions (e.g., professors, scientists) associated with a lack of involvement in parenting.","The cultural backgrounds of individuals (e.g., African, Hispanic, Asian) are often mentioned in professional scenarios.",Assumptions about cultural behaviors influencing business or social interactions
"Young people being depicted as lazy, out of touch, or struggling with responsibilities.",The behavior of waiting to sit versus waiting to speak often aligns with cultural or ethnic stereotypes.,"Higher-status professionals (e.g., lawyers, physicians) are portrayed as innocent or morally upstanding.","African, Asian, and Native American characters subjected to recurring stereotypical roles.",Perceptions of health and fitness based on physical appearance.,Contrasts between younger and older individuals regarding hearing ability.,Physical disabilities are sometimes linked to lower productivity or competence in work environments.,Staying in the car versus confronting others post-accident,Wealthy vs. low-income individuals depicted with contrasting behaviors in public spaces.,Non-Western cultural backgrounds associated with violence or criminality.,The assumption of who is likely to contribute ideas based on cultural or ethnic background.,"Older generations depicted as less capable with technology, especially in minority groups.",Gendered assumptions in discussions of rights and societal roles.,"The portrayal of calm interactions is often associated with male characters or non-minority groups, suggesting different approaches to authority.","Biases against individuals in lower-status jobs, assuming they struggled academically.",Comparative judgments of hygiene between individuals from different countries or cultures.,Job roles linked with the likelihood of receiving government benefits.,Blue-collar workers portrayed as more engaged in familial responsibilities than white-collar professionals.,"Differences in assertiveness, social interaction, and performance are attributed to cultural origins.",Cultural practices leading to different interpretations of financial or social status
Older adults being seen as more responsible or hardworking.,"Scenarios reinforce the idea that certain ethnic groups are more likely to be active participants, while others are more passive.",Socioeconomic status is often used as a marker for trustworthiness or innocence.,Scenarios where ethnicity determines the nature of actions or interactions.,Biases related to risky behaviors and health outcomes.,Situations involving seating preferences based on hearing needs.,People with mental health issues are often shown as being more emotional or less able to control their reactions to stress.,Public disputes as a reaction to minor accidents,Assumptions made based on name or ethnicity without considering context.,Religious or ethnic identities influencing assumptions about profession or morality.,"Perceptions of leadership and assertiveness in the workplace, shaped by stereotypes.",Assumptions about competence often tied to race or occupation.,Domestic violence and its association with traditional gender roles.,"Authority figures are typically shown as more responsive to calm, rational appeals, reinforcing power dynamics.",Expectations that individuals in higher-status professions faced fewer academic challenges.,Contextual settings leading to assumptions about personal hygiene.,Social status inferred from payment methods used at stores.,Occupational status used to imply intelligence or lack thereof.,"Regional differences (e.g., European versus South American) are used to frame HR outcomes.",Influence of cultural background on the perceived capability to engage in business
Generational divides used to emphasize perceived differences in work ethic.,Stereotypes about communication styles and assertiveness are evident across different ethnic groups.,Characters from wealthier backgrounds or higher-status jobs are more often portrayed as being shocked or morally conflicted.,Repetition of ethnic markers as key indicators for roles within the story.,Stereotypes about physical strength based on gender or body size.,Emphasis on generational differences in sensory abilities.,Mental illness is also connected to higher instances of being late with bills or other financial responsibilities.,"Emotional responses to accidents (e.g., embarrassment, aggression)","Scenarios reinforcing existing stereotypes about race, job status, and behavior.",Traditional Western names linked to trustworthiness or professional success.,"Communication styles in marriage discussions, linked to cultural expectations of gender roles.",Characters’ ability to comprehend complex information often linked to their job or ethnicity.,Misogyny linked to specific religious or cultural identities.,Gender and ethnicity play a significant role in how characters are depicted as interacting with authority.,Linking professional achievements or setbacks with the socio-economic status of one's parents.,Repeated scenarios involving smell as a differentiator between individuals.,Comparison between professional and non-professional job roles in financial behaviors.,Job roles influencing perceptions of an individual's reliability or involvement in their community.,Cultural stereotypes are implied in assessing professional aptitude.,Stereotypes about cultural habits impacting social and economic judgments
Stereotypes about younger people being incompetent or uninterested in modern challenges.,Behavioral expectations are shaped by the cultural or ethnic background of the individuals involved in the scenarios.,"Economic hardship is subtly linked to criminal behavior, suggesting a correlation between poverty and immorality.","Distinctions made between different ethnicities, influencing perception of actions like flirting, drinking, and interaction.",Lifestyle choices linked to socioeconomic status or profession.,Recurrent theme of accommodating physical impairments in public settings.,Those with physical disabilities or chronic conditions are sometimes portrayed as less interested in romantic relationships.,The aftermath of accidents as a reflection of personal behavior patterns,Recurrent themes of suspicion and blame towards minorities in various social situations.,Cultural differences used to justify biases in parenting or educational outcomes.,Workplace dynamics and the impact of cultural background on participation in meetings or discussions.,Stereotypes about intellectual capability reinforce biases against minorities in professional environments.,Gender bias in determining the capability and trustworthiness of women in professional roles.,"The interaction with authority often highlights implicit biases, with certain groups being portrayed as more respectful or effective in communication.","Stereotyping career success or failure based on race, ethnicity, or parental background.",Stereotypes related to personal grooming and hygiene linked to race or ethnicity.,Stereotypes about the correlation between job type and economic behavior.,Higher status jobs associated with greater social responsibility and leadership abilities.,Intercultural dynamics are depicted in the context of workplace relationships and performance evaluations.,Cultural identity playing a role in perceptions of poverty or wealth during travel and housing scenarios
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
